Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2015,"Kyle Kubitza","LAA",3,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,12148
2015,"Eddie Rosario","MIN",62,120,114,33,22,2,5,4,4,18,4,0,29,0,1,1,2,0,0,0.28947368,12155
2015,"Scott Schebler","LAD",4,5,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,12225
2015,"Rougned Odor","TEX",73,170,154,41,24,9,3,5,5,25,6,0,31,7,2,1,2,0,0,0.26623377,12282
2015,"Cory Spangenberg","SDP",41,67,55,15,13,2,0,0,0,3,9,0,14,2,0,1,0,0,0,0.27272727,12294
2015,"Jace Peterson","ATL",64,114,105,20,14,4,1,1,1,11,6,0,33,0,0,3,0,0,0,0.19047619,12325
2015,"Tommy La Stella","CHC",4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12371
2015,"Kolten Wong","STL",91,178,166,38,32,5,0,1,1,24,6,1,35,5,1,0,1,0,0,0.22891566,12532
2015,"Adam Morgan","PHI",2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12580
2015,"Alex Dickerson","SDP",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12649
2015,"Tyler Collins","DET",11,14,14,4,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0.28571429,12723
2015,"Nick Martinez","TEX",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12730
2015,"Brad Miller","SEA",62,121,111,26,24,2,0,0,0,9,5,0,26,0,3,2,2,0,0,0.23423423,12775
2015,"Sean Gilmartin","NYM",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12781
2015,"Elvis Araujo","PHI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12854
2015,"Gregory Polanco","PIT",79,137,126,24,17,5,0,2,2,16,9,1,36,1,0,1,2,0,0,0.19047619,12907
2015,"Socrates Brito","ARI",3,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12944
2015,"Jackie Bradley Jr.","BOS",39,83,72,22,13,4,3,2,2,12,8,0,21,2,0,1,1,0,0,0.30555556,12984
2015,"Tsuyoshi Wada","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13046
2015,"Munenori Kawasaki","TOR",5,7,7,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.57142857,13047
2015,"Norichika Aoki","SFG",52,111,99,33,30,2,1,0,0,9,8,0,8,3,0,1,1,0,0,0.33333333,13075
2015,"Eduardo Rodriguez","BOS",1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13164
2015,"Max Muncy","OAK",2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13301
2015,"Jake Lamb","ARI",41,51,45,9,8,0,0,1,1,3,5,0,19,0,1,0,1,0,0,0.2,13329
2015,"Daniel Norris","DET",1,3,2,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0.5,13475
2015,"Corey Seager","LAD",22,47,40,13,10,1,0,2,2,9,7,1,8,0,0,0,0,0,0,0.325,13624
2015,"Preston Tucker","HOU",31,68,65,13,11,2,0,0,0,1,3,0,16,0,0,0,1,0,0,0.2,13633
2015,"Tim Cooney","STL",3,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,13762
2015,"Travis Jankowski","SDP",16,21,20,5,4,0,0,1,1,5,0,0,7,0,0,1,1,0,0,0.25,13768
2015,"Micah Johnson","CHW",14,26,23,4,4,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0.17391304,13809
2015,"Lance McCullers Jr.","HOU",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14120
2015,"Joey Gallo","TEX",17,39,37,5,3,0,0,2,2,4,2,0,23,0,0,0,0,0,0,0.13513514,14128
2015,"Greg Bird","NYY",23,49,42,10,7,1,0,2,2,7,7,0,15,0,0,0,0,0,0,0.23809524,14131
2015,"Henry Urrutia","BAL",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14441
2015,"Adam Conley","MIA",2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14457
2015,"Buck Farmer","DET",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14814
2015,"Andrew Heaney","LAA",2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15423
2015,"Carlos Rodon","CHW",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16137
2015,"Michael Conforto","NYM",12,15,14,3,3,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0.21428571,16376
2015,"Kyle Schwarber","CHC",38,61,56,8,5,1,0,2,2,11,5,0,27,0,0,0,0,0,0,0.14285714,16478
2016,"Will Venable","LAD",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
2016,"David Ortiz","BOS",84,152,134,42,29,8,0,5,5,27,16,0,20,0,2,0,7,0,0,0.31343284,745
2016,"A.J. Pierzynski","ATL",29,37,37,4,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0.10810811,746
2016,"Ichiro Suzuki","MIA",45,70,59,20,17,1,2,0,0,5,9,0,14,1,0,1,1,0,0,0.33898305,1101
2016,"Carl Crawford","LAD",10,12,12,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.08333333,1201
2016,"Javier Lopez","SFG",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1663
2016,"Chase Utley","LAD",72,97,91,14,8,4,0,2,2,9,5,0,27,1,0,0,0,0,0,0.15384615,1679
2016,"Justin Morneau","CHW",19,37,36,10,6,1,1,2,2,6,0,0,9,0,1,0,0,0,0,0.27777778,1737
2016,"Joe Mauer","MIN",68,127,116,26,21,2,0,3,3,8,11,0,24,0,0,0,1,0,0,0.22413793,1857
2016,"Matt Moore","2 Tms",3,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,1890
2016,"Adrian Gonzalez","LAD",85,181,168,41,34,5,0,2,2,16,9,0,29,3,1,0,7,0,0,0.24404762,1908
2016,"Clayton Kershaw","LAD",8,19,18,2,2,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0.11111111,2036
2016,"Jorge De La Rosa","COL",7,9,6,0,0,0,0,0,0,1,1,0,4,1,0,1,0,0,0,0,2047
2016,"David Peralta","ARI",24,44,38,8,4,1,2,1,1,3,2,0,13,3,1,0,0,0,0,0.21052632,2136
2016,"Ryan Howard","PHI",29,35,33,4,3,0,0,1,1,2,0,0,13,1,1,0,1,0,0,0.12121212,2154
2016,"Don Kelly","MIA",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2216
2016,"Kelly Johnson","2 Tms",37,55,53,13,9,1,0,3,3,7,1,0,10,1,0,0,0,0,0,0.24528302,2234
2016,"Pedro Alvarez","BAL",34,42,38,9,6,2,0,1,1,6,3,0,10,0,1,0,0,0,0,0.23684211,2495
2016,"Lucas Duda","NYM",23,32,30,4,2,1,0,1,1,5,2,0,8,0,0,0,1,0,0,0.13333333,2502
2016,"Yonder Alonso","OAK",48,74,66,15,10,4,0,1,1,8,5,0,10,1,2,0,3,0,0,0.22727273,2530
2016,"Chris Parmelee","NYY",1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2554
2016,"Cedric Hunter","PHI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833
