Season,Name,playerId,Team,Bats,G_L,PA_L,AB_L,H_L,1B_L,2B_L,3B_L,HR_L,R_L,RBI_L,BB_L,IBB_L,SO_L,HBP_L,SF_L,SH_L,GDP_L,SB_L,CS_L,AVG_L,G_R,PA_R,AB_R,H_R,1B_R,2B_R,3B_R,HR_R,R_R,RBI_R,BB_R,IBB_R,SO_R,HBP_R,SF_R,SH_R,GDP_R,SB_R,CS_R,AVG_R,BsR,C,Fld,1B,2B,SS,3B,LF,CF,RF,DH
2019.0,Yoan Moncada,17232,Chicago White Sox,S,25.625,68.33333333,62.5,16.66666667,9.466666667,3.866666667,0.23809523800000001,3.095238095,10.0,10.0,5.833333333,0.0,28.81,0.683333333,0.37962963,0.22777777800000001,1.3666666669999998,4.683333333,1.170833333,0.26666666699999997,51.25,136.66666669999998,121.5,33.33333333,22.13333333,3.866666667,0.47619047600000003,6.857142857,20.0,20.0,15.16666667,0.0,28.81,1.3666666669999998,0.759259259,0.45555555600000003,2.733333333,6.3666666670000005,1.591666667,0.274348422,0.5,0.0,0.5,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0
2019.0,Yoenis Cespedes,13110,New York Mets,R,20.475,54.6,50.43333333,12.495,3.4094550000000003,7.086345,0.187425,1.811775,8.0,8.0,4.166666667,0.0,24.88514286,0.546,0.303333333,0.182,1.092,0.546,0.1365,0.247752809,37.14285714,101.4,90.56666667,21.505,11.87895238,4.096190476,0.29258503399999997,5.237272109,15.0,15.0,10.83333333,0.0,27.392,1.014,0.563333333,0.33799999999999997,2.028,1.014,0.2535,0.237449393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,124.0
2019.0,Yolmer Sanchez,11602,San Francisco,S,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0
2019.0,Yonathan Daza,15794,Colorado,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,0.0
2019.0,Yordan Alvarez,19556,Houston,L,19.404761899999997,51.74603175,46.19047619,11.79138322,4.913335493,4.070575531999999,0.160426983,2.647045213,7.0,7.0,5.555555556,0.0,23.712,0.5174603170000001,0.287477954,0.17248677199999998,1.034920635,0.5174603170000001,0.129365079,0.255277369,42.7875,111.2539683,96.80952381,27.20861678,7.970047619,14.31380952,0.4081292520000001,4.516630385,16.0,16.0,14.44444444,0.0,21.27542857,1.112539683,0.618077601,0.370846561,2.225079365,1.112539683,0.27813492100000003,0.2810531,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
2019.0,Yoshitomo Tsutsugo,27459,Tampa Bay,L,19.64285714,52.38095238,46.82539683,10.88435374,6.212309686,2.08053126,0.148086445,2.44342635,7.0,7.0,5.555555556,0.0,27.468000000000004,0.523809524,0.291005291,0.174603175,1.047619048,0.523809524,0.130952381,0.23244552100000002,43.3125,112.6190476,98.17460317,25.11564626,11.09542857,9.474285714,0.376734694,4.169197279,16.0,16.0,14.44444444,0.0,24.91428571,1.1261904759999999,0.625661376,0.375396825,2.2523809519999998,1.1261904759999999,0.28154761899999997,0.255826308,0.0,0.0,-0.2,9.0,0.0,0.0,80.0,21.0,0.0,2.0,53.0
2019.0,Yu-Cheng Chang,14773,Cleveland,R,4.85625,12.95,11.83888889,2.5725,1.1666524999999999,0.9942475000000001,0.0385875,0.3730125,1.0,1.0,1.111111111,0.0,6.670857142999999,0.1295,0.07194444400000001,0.043166667,0.259,0.1295,0.032375,0.21729235100000002,8.80952381,24.05,21.16111111,4.4275,3.045666667,0.243333333,0.060238095,1.078261905,3.0,3.0,2.888888889,0.0,7.28,0.2405,0.133611111,0.080166667,0.48100000000000004,0.2405,0.060125,0.20922814399999998,0.0,0.0,0.1,0.0,16.0,9.0,11.0,0.0,0.0,0.0,0.0
2019.0,Yuli Gurriel,19198,Houston,R,27.5625,73.5,69.61111111,20.2125,12.7094125,4.2690875,0.3031875,2.9308125,11.0,11.0,3.888888889,0.0,27.85757143,0.735,0.40833333299999997,0.245,1.47,0.735,0.18375,0.290363128,50.0,136.5,126.3888889,34.7875,25.21595238,0.626190476,0.47329932,8.472057823,20.0,20.0,10.11111111,0.0,31.160999999999998,1.365,0.7583333329999999,0.455,2.73,1.365,0.34125,0.275241758,-0.6,0.0,-1.0,207.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019.0,Yusniel Diaz,sa912848,Baltimore,R,4.06875,10.85,10.01666667,2.5725,1.7666525000000002,0.3942475,0.0385875,0.3730125,1.0,1.0,0.833333333,0.0,4.779,0.1085,0.060277778,0.036166667,0.217,0.1085,0.027125,0.256821963,7.380952381,20.15,17.98333333,4.4275,3.245666667,0.043333332999999995,0.060238095,1.078261905,3.0,3.0,2.166666667,0.0,5.271,0.2015,0.111944444,0.067166667,0.40299999999999997,0.2015,0.050375,0.246200185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2019.0,Zach McKinstry,sa918920,Los Angeles Dodgers,L,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0
2019.0,Zack Collins,19181,Chicago White Sox,L,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
