Season,Name,playerId,Team,Throws,IP_L,TBF_L,ERA_L,H_L,1B_L,2B_L,3B_L,R_L,ER_L,HR_L,BB_L,IBB_L,HBP_L,SO_L,AVG_L,OBP_L,SLG_L,wOBA_L,IP_R,TBF_R,ERA_R,H_R,1B_R,2B_R,3B_R,R_R,ER_R,HR_R,BB_R,IBB_R,HBP_R,SO_R,AVG_R,OBP_R,SLG_R,wOBA_R,SP,RP
2019.0,Kyle Hendricks,12049,Chicago Cubs,R,24.0,99.92983559999999,4.2735,24.08922,15.92216118,4.447058824,0.36,12.193719999999999,11.395999999999999,3.36,5.88,0.0294,0.9992983559999999,18.79365079,0.258883191,0.309902625,0.42274101799999997,0.168297714,36.0,147.088,3.876190476,34.08979592,22.92794718,6.050420168,0.54,16.59009524,15.5047619,4.571428571,8.0,0.04,1.47088,20.72,0.24771479,0.296153839,0.399183632,0.160872574,60.0,0.0
2019.0,Kyle Keller,18890,Los Angeles Angels,R,1.2,4.98871254,4.2105,0.902523,0.494170059,0.22235294100000005,0.018000000000000002,0.600698,0.5614,0.168,0.588,0.00294,0.049887125,1.320634921,0.20743719,0.308779091,0.38265749200000004,0.135992809,1.8,7.3448,3.8190476189999996,1.294693878,0.7366014409999999,0.302521008,0.027000000000000003,0.81727619,0.763809524,0.228571429,0.8,0.004,0.073448,1.456,0.20006543899999998,0.295194134,0.361119156,0.131061266,0.0,3.0
2019.0,Kyle Ryan,11753,Chicago Cubs,L,8.4,34.44746667,4.038095238,6.128253967999999,3.790489262,1.411764706,0.126,4.032711111,3.768888889,0.8,3.8222222219999997,0.019111111,0.344474667,7.742000000000001,0.20238105,0.298859448,0.33658387,0.12664493699999999,12.6,52.69459608,4.452,9.648996,5.802290117999999,2.3347058819999997,0.18899999999999997,6.6690960000000015,6.2328,1.3230000000000002,6.3210000000000015,0.031605,0.526945961,7.022222222000001,0.21046239999999997,0.313067054,0.356202729,0.13142372900000002,0.0,21.0
2019.0,Kyle Wright,19665,Atlanta,R,20.8,87.54973864,4.7145,17.71513467,10.63701702,3.854117647,0.312,11.65843467,10.89573333,2.912,9.221333332999999,0.046106667000000004,0.8754973859999999,18.70899471,0.228721363,0.317670456,0.399329775,0.147132506,31.2,128.6410667,4.276190476,25.12036281,15.44676057,5.243697479,0.46799999999999997,15.86181587,14.82412698,3.961904762,12.54603175,0.06273015900000001,1.286410667,20.62666667,0.218802054,0.302802256,0.376154447,0.140981542,49.0,3.0
2019.0,Kyle Zimmer,14169,Kansas City,R,2.0,8.4981974,5.103,1.3416299999999999,0.684375098,0.370588235,0.03,1.21338,1.1340000000000001,0.256666667,1.33,0.00665,0.084981974,1.8624338619999998,0.18940974100000002,0.324376082,0.358907372,0.12108606,3.0,12.468,4.628571429,1.91292517,1.01451714,0.5042016810000001,0.045,1.650857143,1.5428571430000002,0.34920634899999997,1.80952381,0.009047619,0.12468,2.0533333330000003,0.18159884,0.308560233,0.337461048,0.116544361,0.0,5.0
2019.0,Lance Lynn,2520,Texas,R,26.0,107.6673962,4.053,21.854689999999998,13.00704294,4.817647059,0.39,12.52827333,11.70866667,3.64,10.01,0.05005,1.076673962,28.33862434,0.226284185,0.305954868,0.39730845,0.147989597,39.0,158.6173333,3.6761904760000004,31.23537415,19.14337135,6.554621849,0.585,17.04526984,15.93015873,4.9523809519999995,13.61904762,0.068095238,1.586173333,31.24333333,0.217801507,0.29278386,0.375262159,0.142265607,65.0,0.0
2019.0,Lance McCullers Jr.,14120,Houston,R,22.8,94.6377327,4.1475,18.061115,10.83440912,4.224705882,0.342,11.24249,10.507,2.66,10.107999999999999,0.050539999999999995,0.946377327,23.88571429,0.21608506800000002,0.307652048,0.37028689200000003,0.13764811300000002,34.2,139.3688,3.761904762,25.86068027,15.98073349,5.74789916,0.513,15.29590476,14.295238099999999,3.619047619,13.75238095,0.068761905,1.3936879999999998,26.334,0.20817993699999998,0.294231917,0.35011082,0.132640561,57.0,0.0
2019.0,Lewis Thorpe,15906,Minnesota,L,2.8,11.49244444,4.076190476,2.497354497,1.540321818,0.470588235,0.042,1.3569185190000002,1.2681481479999999,0.444444444,0.82962963,0.004148148,0.114924444,3.070666667,0.23676341,0.29949316600000003,0.41574911299999995,0.158104136,4.2,17.58301692,4.494,3.969854,2.393618706,0.778235294,0.063,2.244004,2.0972,0.735,1.3719999999999999,0.00686,0.17583016899999998,2.785185185,0.247571423,0.31380759,0.441472208,0.16546450699999998,0.0,7.0
2019.0,Liam Hendriks,3548,Oakland,R,9.2,37.60068704,3.528,7.762714667000001,4.739342118,1.7047058819999998,0.138,3.8588480000000014,3.6064,1.1806666670000001,3.0053333330000003,0.015026666999999999,0.37600687,11.87724868,0.226851632,0.296379023,0.388242961,0.148376716,13.8,55.5128,3.2,11.1568254,7.024148459,2.319327731,0.207,5.250133333,4.906666667,1.606349206,4.088888889,0.020444444,0.555128,13.09466667,0.21932558100000002,0.284634216,0.367793362,0.143021339,0.0,23.0
2019.0,Ljay Newsome,sa875837,Seattle,R,1.2,5.11318038,5.2185,1.351531,0.8311780590000001,0.22235294100000005,0.018000000000000002,0.744506,0.6958,0.28,0.266,0.00133,0.051131804,0.901587302,0.281800941,0.326345382,0.510812996,0.194648674,1.8,7.4984,4.733333333,1.88952381,1.17905042,0.302521008,0.027000000000000003,1.0129333329999999,0.946666667,0.380952381,0.3619047620000001,0.0018095239999999999,0.07498400000000001,0.9940000000000001,0.26758065600000003,0.31025453,0.479911714,0.184699348,3.0,0.0
