WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
14,6/24/2020,Wed,TEX,NYM,,,BOS,CLE,LAD,KC,,MIN,,,,TOR,,DET,,CHC,,,,,BAL,,,,PIT,PHI,OAK,STL,15
14,6/25/2020,Thu,,NYM,,,,,,,,,,,,,,DET,,CHC,,,,,,,,,PIT,PHI,OAK,STL,7
14,6/26/2020,Fri,,LAD,,,,NYM,,,,TEX,CLE,,COL,PIT,,OAK,,WSH,,,LAA,STL,CHC,,ARI,DET,,,SEA,ATL,15
14,6/27/2020,Sat,,LAD,,,,NYM,,,,TEX,CLE,,COL,PIT,,OAK,,WSH,,,LAA,STL,CHC,,ARI,DET,,,SEA,ATL,15
14,6/28/2020,Sun,,LAD,,,,NYM,,,,TEX,CLE,,COL,PIT,,OAK,,WSH,,,LAA,STL,CHC,,ARI,DET,,,SEA,ATL,15
15,6/29/2020,Mon,,,MIA,CIN,,,,,ATL,,,WSH,,,MIL,,,,HOU,COL,,SEA,,,ARI,NYY,,,LAA,,11
15,6/30/2020,Tue,,,MIA,CIN,,,,,ATL,,ARI,WSH,,,MIL,,MIN,,HOU,COL,CHW,SEA,,SF,SD,NYY,,,LAA,,15
15,7/1/2020,Wed,,,MIA,CIN,,,,,ATL,,ARI,WSH,,,MIL,,MIN,,HOU,COL,CHW,SEA,,SF,SD,NYY,,,LAA,,15
15,7/2/2020,Thu,,,BAL,CIN,,,,,,,,WSH,,,MIL,,MIN,,HOU,,CHW,,,SF,SD,,,,LAA,,10
15,7/3/2020,Fri,PHI,,BAL,MIA,,,CIN,SF,CHW,,,MIL,,,TB,,KC,,MIN,BOS,NYY,,,SD,,,HOU,LAA,,,15
15,7/4/2020,Sat,PHI,,BAL,MIA,,,CIN,SF,CHW,,,MIL,,,TB,,KC,,MIN,BOS,NYY,,,SD,,,HOU,LAA,,,15
15,7/5/2020,Sun,PHI,,BAL,MIA,,,CIN,SF,CHW,,,MIL,,,TB,,KC,,MIN,BOS,NYY,,,SD,,,HOU,LAA,,,15
16,7/6/2020,Mon,BAL,,,,DET,,,ARI,,,,,KC,,,,,,,,,TOR,,SD,,,,PIT,,,7
16,7/7/2020,Tue,BAL,OAK,,,DET,LAD,,ARI,,PHI,,,KC,TB,,CHC,,CLE,,,,TOR,NYM,,,,STL,PIT,,TEX,15
16,7/8/2020,Wed,BAL,OAK,,,DET,LAD,,ARI,,PHI,,,KC,TB,,CHC,,CLE,,,,TOR,NYM,,,,STL,PIT,,TEX,15
16,7/9/2020,Thu,OAK,,,,DET,LAD,,,,PHI,,,TOR,COL,,,,,KC,,,,,,,,STL,PIT,,TEX,10
16,7/10/2020,Fri,OAK,SD,,,LAD,,,,,DET,,,TOR,COL,,ARI,,PIT,KC,,,BAL,TEX,,,,PHI,CHC,STL,NYM,15
16,7/11/2020,Sat,OAK,SD,,,LAD,,,,,DET,,,TOR,COL,,ARI,,PIT,KC,,,BAL,TEX,,,,PHI,CHC,STL,NYM,15
16,7/12/2020,Sun,OAK,SD,,,,,,,,DET,,,TOR,COL,,ARI,,PIT,KC,,,BAL,TEX,,,,PHI,CHC,STL,NYM,14
17,7/13/2020,Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,7/14/2020,Tue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,7/15/2020,Wed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,7/16/2020,Thu,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,7/17/2020,Fri,,,HOU,SF,,MIL,MIA,ATL,MIN,,BOS,NYY,,,CIN,,CHW,,,WSH,CLE,,,SEA,LAA,TB,,,,,15
17,7/18/2020,Sat,,,HOU,SF,,MIL,MIA,ATL,MIN,,BOS,NYY,,,CIN,,CHW,,,WSH,CLE,,,SEA,LAA,TB,,,,,15
17,7/19/2020,Sun,,,HOU,SF,,MIL,MIA,ATL,MIN,,BOS,NYY,,,CIN,,CHW,,,WSH,CLE,,,SEA,LAA,TB,,,,,15
18,7/20/2020,Mon,,,,MIL,,,MIN,MIA,HOU,,TB,SF,,,CHW,,,,,,BOS,,LAA,,WSH,SEA,,,,,11
18,7/21/2020,Tue,,,ATL,MIL,,,MIN,MIA,HOU,,TB,SF,,,CHW,,CLE,NYM,,SD,BOS,,LAA,,WSH,SEA,,,,,15
18,7/22/2020,Wed,,,ATL,MIL,,,MIN,MIA,HOU,,TB,SF,,,,,CLE,NYM,,SD,BOS,,LAA,,WSH,SEA,,,,,14
